Test1: Formation of (S,G) Broadcast Tree
Having Client0 and Client1 interested
About to start TCP server...
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:04,003 (10.1.1.100,224.12.12.12)           1  eth1  R6 Downstream state transitions to NoInfo
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:04,024 (10.1.1.100,224.12.12.12)           0  eth0  R5 RPFnbrChanges_olistIsNotNull, F -> AP
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:04,024 (10.1.1.100,224.12.12.12)           0  eth0  R5 Upstream state transitions to AckPending
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:04,032 (10.1.1.100,224.12.12.12)           0  eth0  R6 RPFnbrChanges_olistIsNotNull, F -> AP
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:04,033 (10.1.1.100,224.12.12.12)           0  eth0  R6 Upstream state transitions to AckPending
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:04,035 (10.1.1.100,224.12.12.12)           0  eth0  R5 seePrune, AP -> AP
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:04,039 (10.1.1.100,224.12.12.12)           0  eth0  R5 RPFnbrChanges_olistIsNotNull, AP -> AP
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:04,040 (10.1.1.100,224.12.12.12)           1  eth1  R4 receivedGraft, PP -> NI
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:04,041 (10.1.1.100,224.12.12.12)           1  eth1  R4 Downstream state transitions to NoInfo
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:04,043 (10.1.1.100,224.12.12.12)           0  eth0  R6 seePrune, AP -> AP
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:04,032 (10.1.1.100,224.12.12.12)           1  eth1  R3 receivedGraft, PP -> NI
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:04,033 (10.1.1.100,224.12.12.12)           1  eth1  R3 Downstream state transitions to NoInfo
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:04,046 (10.1.1.100,224.12.12.12)           0  eth0  R5 seePrune, AP -> AP
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:04,047 (10.1.1.100,224.12.12.12)           0  eth0  R6 RPFnbrChanges_olistIsNotNull, AP -> AP
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:04,048 (10.1.1.100,224.12.12.12)           1  eth1  R4 receivedGraft, NI -> NI
pim.KernelEntry.DownstreamInterface.JoinPrune      DEBUG    2020-06-17 17:28:04,052 (10.1.1.100,224.12.12.12)           1  eth1  R3 receivedGraft, NI -> NI
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:04,053 (10.1.1.100,224.12.12.12)           0  eth0  R6 seePrune, AP -> AP
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:04,055 (10.1.1.100,224.12.12.12)           0  eth0  R5 seePrune, AP -> AP
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:04,059 (10.1.1.100,224.12.12.12)           0  eth0  R5 recvGraftAckFromRPFnbr, AP -> F
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:04,059 (10.1.1.100,224.12.12.12)           0  eth0  R5 Upstream state transitions to Forwarding
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:04,060 (10.1.1.100,224.12.12.12)           0  eth0  R6 seePrune, AP -> AP
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:04,064 (10.1.1.100,224.12.12.12)           0  eth0  R6 recvGraftAckFromRPFnbr, AP -> F
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:04,064 (10.1.1.100,224.12.12.12)           0  eth0  R6 Upstream state transitions to Forwarding
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:28:04,110 (10.1.1.100,224.12.12.12)           0  eth0  R5 OTexpires, F -> F
